body,title
"RAY, Finnish Slot Machine Association and Playtech launch the new serviceAs of today, Finnish players will have at their disposal a new online gambling service, released jointly by state operator, RAY, Finland’s Slot Machine Association and software provider, Playtech. Playtech was granted the contract by RAY in May this year, which led to the launch of this platform, fully in line with the Finnish regulatory environment.An online gambling domain operated by RAY, Ray.fi, will have over 150 games on offer, such as slots (including Playtech branded slots: Iron Man and Pink Panther), traditional casino table games, and local content, JokeriPokeri and Tuplapotti.There will also be seven different formats of online poker in the domain’s offering, along with the ability to share tournaments between the online environment and RAY’s gaming locations, such as Grand Casino Helsinki.As per responsible gaming features, there is age and online identity verification from the Finnish Population Register as well as other limits set by the Finnish regulator. But apart from this, players are enabled to set their own gaming limits, and they are allowed to access a unique tool ‘Playscan’ which will help the analyze and monitor their personal gaming activity.“It has been a close collaboration between Playtech and ourselves as we have worked to develop the very best online gaming environment for Finnish players under what is a new regulatory environment,” said Kari Hyttinen, Head of RAY Internet gaming operations.“With our very strong focus on responsible gaming, we have been pushing the frontiers of technology and integration through this process. Playtech has delivered innovative solutions to achieve these and we can now offer our players market-leading content in a controlled environment that is fully consistent with our core values and controls,” she added.On the other side, Playtech CEO Mor Weizer said: “Responsible gaming is a key feature of regulated markets and RAY has consistently been at the forefront of best practice and setting the highest standards.“We have developed innovative solutions to what were complex requirements and are delighted to deliver a complete solution for RAY and industry-leading content for their Finnish players.”",Playtech Offers Online Gambling Domain for Finnish Market
"Ozamiz Police led by Chief Inspector Jovie Espenido successfully seized some 14 kilos of shabu worth P112 million from three different operations in Misamis Occidental on Wednesday.According to Espenido, the shabu that they discovered were the old supply from the Parojinogs who ended their decade reign in Ozamiz City after a bloody pre-dawn drug raid that left 15 people dead including their former Mayor Reynaldo Parojinog Sr.He said that because the Parojinogs were already no power in Ozamiz City, they are now having difficulties to earn money and sell their illegal drugs.“Lumang supply iyan, pagdating ko sa Ozamiz tinago nila. Ngayon lang inilabas dahil nakita nila, na naghahanap sila ng pera at patay na yung papa nila,” Espenido in an interview with Dobol B sa News TV.“According sa nakuha naming information up to 86 kilos iyan last year. ‘Yung transaksyon nila, ‘yung taga-Cebu, magpupunta sa Ozamiz, sakay lang ng barko. Ganundin ‘yung taga-Lanao, taga-General Santos,” he said.In their first operation, 32 million pesos worth of shabu were seized from a certain Butch Merino, a former bodyguard of detained Ozamiz Vice Mayor Princess Nova Parojinog.Espenido said that they received an information that Nova Parojinog is still continuing her illegal drug business inside the PNP Custodial Center.He was caught by the authorities in a checkpoint and they discovered one kilo of shabu worth 8 million pesos, a firearm and magazines.Merino also told the police about the identity of his supplier identified as Melden Rabarez, who later arrested in an entrapment operation together with a certain Roselyn Walohan. They seized P27-M worth of illegal drugs from Rabarez.According to Espenido, the shabu were planned to deliver to a distributor in Lanao Del Sur.In the second operation, they seized 64 million worth of shabu, however their target escaped the men of Espenido while the 3rd operation confiscated 2 kilos of shabu from the son of former Board Member Parojinog who also killed during the bloody drug raid several months ago.The Ozamiz police also seized eight kilos of shabu from Melodin Malingin and Gaudencio Malingin, known supporters of the Parojinogs.They also seized two kilos of shabu and guns from the house of Maychell Parojinog Gumapac, while heavy firearms were discovered from the house of Manuelito Francisco.Meanwhile, the cops also recovered grenades and guns from the house of former Ozamiz City Councilor Ricardo Parojinog who’s still at large.The raid happened several days after Duterte administration declared that the war against illegal drugs would be brought back with the cooperation of PDEA.Espenido shocked the nation after he successfully raided the houses of the powerful Parojinog family in Ozamiz which resulted to 15 deaths in July.The anti-drug raid also resulted to the arrest of former Vice Mayor Princess Parojinog and others.",Espenido is back! Ozamiz police seize 100 million+ worth of illegal drugs from Parojinogs
"A general view of atmosphere at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)LOS ANGELES (AP) — An elaborate premiere featuring a massive assault vehicle and a procession of Stormtroopers and droids preceded the first showing of “Star Wars: The Last Jedi,” and initial reactions praised the latest installment of the beloved space opera franchise.Formal reviews won’t be out for a few days, but journalists and others at the screening who shared their initial reactions online said “The Last Jedi” packed the adventure expected in a Star Wars film, but took it into new territory.“Logan” director James Mangold praised “The Last Jedi” director Rian Johnson, calling his film “a great chapter of a blockbuster franchise, spectacular and unpredictable, but also his own voice shining through.”Director Rian Johnson arrives at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)Producer Adam F. Goldberg wrote that the film made him feel like a kid again.Many who posted online about the premiere said they were still processing the film, which features the return of Luke Skywalker and the final performance of Carrie Fisher, who died after filming the eighth installment in the core Star Wars franchise.Attendees at Saturday’s premiere were the first people outside the cast, filmmakers and top executives at Walt Disney Co. and Lucasfilm who had seen “The Last Jedi.” It will be publicly released on Friday.Fans at the premiere were treated to up-close looks at new characters, including an elite squad of guards clad in red armor as well as a collection of droids, including the droids C-3PO, R2-D2, and BB-8, who walked and rolled down the red carpet before the film’s stars arrived.A general view of atmosphere at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)“It’s a Star Wars movie, and the energy tonight is pretty amazing,” said a beaming Andy Serkis, who plays the villain Supreme Leader Snoke.Daisy Ridley, who plays Rey, arrived wearing a shimmering dress adorned with stars. Ridley was in good spirits, saying about her dress, “I mean, it’s just fun. It’s fun. And I feel fun. And it’s got stars on it.”Daisy Ridley arrives at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)Newcomer Kelly Marie Tran wore a bright red dress with a lengthy train behind it. John Boyega, who earlier in the day tweeted that he might miss the premiere because a snowstorm had snarled travel out of Atlanta, arrived sporting a dark blue tuxedo and turtleneck.Kelly Marie Tran arrives at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)John Boyega arrives at the Los Angeles premiere of “Star Wars: The Last Jedi” at the Shrine Auditorium on Saturday, Dec. 9, 2017 in Los Angeles. (Photo by Jordan Strauss/Invision/AP)Secrecy about the film remained in place on the red carpet. Anthony Daniels, who plays C-3PO, told a reporter looking for details on the film, “I’m going to let you work out everything for yourself.”“The Last Jedi,” which arrives in theaters on Dec. 15, is one of the year’s biggest releases and includes the return of Luke Skywalker and Carrie Fisher’s final role. Early box office projections are for the film to debut in the $200 million range for its first weekend. NVGRELATED STORY:LOOK: Stormtroopers, droids grace ‘Star Wars: The Last Jedi’ world premiere",Star Wars: The Last Jedi receives early praise after elaborate premiere  MaharlikaNews @ykhy CW051017
"Roque’s “Nine out of ten”Assuming the unlikely event that Roque’s “nine out of ten” statistic has factual basis, asking the public not to panic solely on the basis that 90% of the vaccine recipients are protected directly negates Roque’s supposed reputation as a human rights lawyer.Does the protecting 90% justify endangering the remaining 10%? The government “inoculated” over 700,000 individuals, so the fact that Sanofi and the government endangered over 70,000 is “no reason to panic”? Besides, how sure is Roque that 90% have had dengue before, which is a requirement for the vaccine to work as designed?Where is the study? When was it published? Where was it published? Or did the government just made that number up to justify the botched mass vaccination program?To add further insult to injury, Roque, aside from being the presidential spokesman, is also the Presidential Adviser on Human Rights.What’s more disturbing, however, is the Department of Health’s claim that Dengvaxia provides “a 30-month protection” before the risk of contracting severe dengue kicks in.Referring to those who received Dengvaxia but have never had the virus in the past, Duque said in Filipino , “Even if they received their first dose, they shouldn’t panic because the first dose of the vaccine gives protection for 30 months.”Under Duque’s “30-month protection” theory, all of the recipients under the assailed vaccination program must still be alive by today, because the program was launched only 20 months ago.Civil society group Volunteers against Crime and Corruption (VACC) claims that at least three kids have died after receiving Dengvaxia as manufacturer Sanofi maintains that there have been no deaths due to the vaccine“30-month protection” a myth?DoH Sec. Duque versus Reality“…The vaccine could act as their primary infection, and the subsequent true… infection (which would otherwise be typically less severe) could simulate a secondary… infection (which is typically more severe)…”Please, not another Christine!I smelled fearShocked in TarlacDr. “Santos” takes no one elseShocked, confused, and slightly scaredA ""new"" Leijani “resurfaces”DONT FORGET TO SHARE!Did you like this post? Help  stay up! Even as little as 50 pesos will be a great help! Just click the link below! :-)RELATED POSTS:In as early as program’s second week, however, a male recipient was pronounced dead on arrival at the Bataan General Hospital after suffering from cardiac arrest.Just two weeks after the death, authorities exculpated Dengvaxia by pinning the blame on congenital heart disease. Then-Health Secretary Janette Garin, who was the vaccine’s main government proponent and who headed its regulatory approval, ascertained the cause of death in no more than 14 days.Authorities said the child died “ due to cardiac arrest, pulmonary edema and other underlying causes such as congenital heart disease, gastroenteritis, with moderate dehydration. Now, Dengue can trigger cardiac arrest [ Vancini-Campanharo 2016 ]. It’s is linked to pulmonary edema [ Lee 2012 ]. It also has symptoms similar to gastroenteritis [ Varatharaj 2010 ], and it also causes dehydration [ US CDC ].Is former Health Sec. Garin absolutely certain that it’s not dengue, or was she, along with the rest of her department, merely trying to cover up the mess?I have reason to believe that it is so, as Garin has an extensive history of ignoring multiple World Health Organization warnings against Dengvaxia, warnings that were issue way before, right before, and immediately after the launch of her catastrophic mass immunization program.If Garin indeed attempted a coverup, does it also mean that Health Sec. Duque’s “30-month protection” theory is just a figment of his imagination?Just hours ago, News5 reported that 10-year-old Bataan 4th grader Christine Mae de Guzman, one of the vaccine’s first recipients, died from severe dengue before receiving her second dose of Dengvaxia scheduled October this year. Christine had no prior history of the disease: this was her first dengue infection.Duque’s “30-month protection” theory would have meant that Christine would still be alive by now.But according to the death certificate, Christine died from severe dengue.What happened to this Christine seems to confirm the untested risk with Dengvaxia that Sanofi itself cited in a 17 March 2016 document of the World Health Organization. Sanofi said that for those who have never had dengue:Was Duque referring to some parallel universe that the rest of the planet has yet to discover? If so, then let us hope that we can refund the P3.5 billion we paid Sanofi so we can ship the 700,000 kids to the Bermuda Triangle and hope against all hopes that they will somehow end up there.But then, I am very big believer of Hanlon’s razor, or the saying, “Never attribute to malice that which is adequately explained by stupidity.”So, should we attribute the “30-month protection” theory to malice, or is it merely a product of stupidity?Yesterday, I interviewed Lejani Pangalangan, a Tarlac mother who claimed that her daughter, Aimy Junnel Tamayo, contracted dengue Aimy never had dengue prior to the first Dengvaxia dose. She received all three doses under the same mass immunization program where the late Christine got hers. Aimy’s last Dengvaxia shot was in August 2017, and the mother claims Aimy contracted dengue three months later on 28 November 2017.After the phone interview last night, the mother and I agreed to meet this afternoon. I told her that I will visit them in Tarlac so I can interview them personally. The mother was even glad that I’ll come to visit because I promised to help them with the bills after she told me that she even had to borrow money so she could bring Aimy to the hospital.The mother also said in the interview that the child was vaccinated without parental consent, although she doesn’t blame Aimy’s teachers for it because she believes that the teachers acted only upon orders from the Department of Health.I wrote a  article about that phone interview and it was published last night at 12:12 AM . The article quickly went viral and it has garnered over 16,000 shares as of this article’s writing.A few hours later at 7:12 AM, the mother Lejani tried to call me but the signal on my phone was poor. I have a morning radio program, “Karambola sa DWIZ”, so I was inside a building at time, preparing for the show. I texted Lejani, asking why she tried to call.Lejani replied in Filipino, “I just want to correct something I said. I think I was mistaken when I said there was no parental consent. I signed a waiver before the first dose. The teacher found a copy.”That was odd. Leijani said she discovered about the immunization only after Aimy’s younger sister complained about why she wasn’t given Denvaxia too. If Leijani indeed signed a consent form, how would she totally forget about it?JUST A FEW HOURS LATER AND SHE’S BACKTRACKING ALREADY!?I felt that Leijani was lying about the consent form, but I still gave her the benefit of the doubt. Despite my reservations, I immediately updated the article to reflect this development and I informed her about it about it right away.A few minutes later, Lejani texted, “Please, sir, I do not want to ruin their reputation! Please delete the article if you don’t mind! They love my daughter a lot!”I replied, “Yup. They’re safe. I’ll protect them.”Should there be problems, I was intent on defending Aimy’s teachers, even if it has to be in front of Education Secretary Leonor Briones: I would’ve done so even if no one asked for it. I have interviewed Sec. Briones just two weeks ago , I have her contact details, and I believe that she is a very fair and just human being who responds well to reason. Teachers are already overworked and underpaid. While they are expected to follow all the rules by the book,I am a firm believer that they deserve to be shown more compassion than most people. Despite the assurance, the mother repeatedly insisted that I take down the article, but it takes more than a couple of text messages for me to do that. Leijani sent one text after another, with each subsequent message sounding more and more panicky.Unfortunately, my radio show starts at 8 AM so I couldn’t read or respond to her messages during that time, so I texted, “I’ll speak to you later po, I’m on air right now.”(The Filipino word “Po” is a form that indicates respect or politeness .)After the radio show ended, I immediately and repeatedly tried to call her after the radio show but her phone cannot be reached. I started to worry, as there are wide range of things that could have gone wrong with the child. Leijani told me the night before Aimy’s platelet count was low at 38 and may still be falling.From my best recollection, I think I managed to call her at around 11:30 AM as I was on the way to Tarlac, I confirmed with her that we will meet between 2 and 3 PM as previously agreed upon.I texted her again at 12:50 PM, asking her if she was alright.She replied at 1:53 PM with, “I hope you can delete the article.”I arrived at the hospital at exactly 2:19 PM, in line with our agreement.Right before I entered the lobby, a hospital staffer recognized me and asked for a photo. The hospital staffer said he is one of my social media followers so he was already aware of what Leijani and I agreed upon. He told me that Aimy and Leijani have already been transferred to another hospital.I was shocked. I told him I needed more details, so he introduced me to another hospital staffer who witnessed the hospital discharge. Note that I will never reveal their identity, for their own protection.The second staffer told me the following that doctors from the Department of Health – Tarlac arrived at hospital around 9:00 AM. The doctors spoke to Leijani over breakfast at the hospital cafeteria.He said the doctors paid for all the expenses Leijani has so far incurred and told the hospital that they will facilitate the patient’s discharge for transfer to Jose B. Lingad Hospital in the neighboring province of San Fernando, Pampanga.Do provincial DoH offices have discretionary funds that can be used to “bail out” patients from private hospitals?If so, why just Aimy? Some of Aimy’s neighbors also got struck with dengue and are in the same hospital, so why did DoH Tarlac take Amy and no one else?The hospital staffers said all the hospital employees who witnessed the scene were all surprised.Concerned about mother and child, a hospital employee even asked Leijani if she will have a place to stay in Pampanga. According to the staffer, one of the DoH doctors said they’ll give Leijani a room.One of the staffers told me that it was highly irregular and perplexing.He said there’s a dengue epidemic in Leijani’s village and some of the other dengue victims are admitted in the same hospital. He wondered why DoH-Tarlac took Leijani and Aimy and left everyone else behind.He said they left at 12 noon in a vehicle with DoH-JBL decals (branding).One of them told me in Filipino, “You know, one of their teachers also contracted dengue. Her platelet count is less than 10 so she’s on the 5th floor. Would you like me to bring you to her?”I respectfully declined the offer on humanitarian grounds. The teacher’s platelet count is low so I do not want to subject her to further stress anymore. For all I know, she might start hemorrhaging just by trying to talk.Asked for the names of the DoH doctors, the staffers said they can’t recall the exact names anymore, but one of them said one of the doctors had a surname of “Santos”.Something felt really off so I decided that it’s better if I do not stay in that place for too long. If there’s a massive coverup going on, then it’s not improbable that somebody within the hospital premises may be looking for meI thanked the hospital staffers, quickly exited the building, did a quick 5-minute Facebook live session as proof that I really went there, then immediately left Tarlac.Tarlac, after all, is the home of former President Benigno Aquino, one of the masterminds of the Dengvaxia Scandal.I tried to call Leijani again as soon as we got onto the Subic-Clark-Tarlac Expressway, but no one was answering. For some really weird reason, Leijani, the Dengvaxia victim’s mother, doesn’t want to talk to me anymore.I immediately called my friend Sass Rogando Sasot at around 3:35 PM and I told her about what happened. She asked for Leijani’s number and she said she’ll call Leijani herself.The rest of the this section is based on how Sass recounted the events to me.Sass dialed Leijani’s number but it was busy.She dialed it again and it rang. Leijani picked it up.Sass asked Leijani, “I want to donate, where I can I send my donation?”Leijani and her friends were trying to solicit financial help for Amy online since last night. Thus, Leijani shouldn’t be surprised if she gets calls from total strangers, in the same way that she wasn’t surprised when I called her last night.Leijani said, “You can deposit it to a bank account.”Sass asked, “Where are you right now?”“In Pampanga,” Leijani replied.Sass asked,” How did you get there?”Sass heard somebody talk to Leijani and just moments later, Leijani hung up.Available data suggests that DoH Tarlac took just Leijani and her daughter Aimy. They left Tarlac for Pampanga at 12 noon and the call took place at around 3:35 PM so Leijani’s relatives, if any, are unlikely to be there that fast.Who was coaching Leijani, a Health Department employee?Leijani suddenly “came back to life” when she texted me again at 7:33 PM and apologized for not informing me about their transfer. She said she was already groggy out of hunger and exhaustion. She said somebody told her about the Facebook live session I did in the hospital in Tarlac.She admitted that DoH Tarlac offered help and she accepted and that there was no money involved. She said she wasn’t silenced in exchange for money, and all that she wants is a quiet life and what’s best for her daughter.The whole nine yards.I can’t take her word for it anymore because I have reason to believe that her texts were sent under duress. No, she’s in probably in no physical danger, but as a mother, I think she feels the necessity to comply with whoever is necessary, for the sake of her daughter.#DengGate has been raging for almost a week now, but we have yet to hear from a President who’s typically vocal even about the littlest of issues.If Duterte knew about #DengGate, would he be in Greenbelt yesterday to shop as the parents of hundreds of thousands of Filipinos lose sleep over the Dengvaxia scandal? That’s not Duterte, so somebody may be keeping the issue away from his eyes… and his daily briefings.I think there’s a coverup going on, from a little bit below the top all the way to a little bit above the bottom. After all, many of them may be complicit to this whole mess, and many of those heads will roll if somebody opens the can of worms.Remember DoH Tarlac.The relative silence of government authorities, the mismatching official statements, the disappointingly scant media coverage of what would otherwise be a major national issue… all of these point to a concerted effort to play down #DengGate.All these, in my opinion, point to a massive coverup.And who are the suspects?Read the title, for starters. [  ].",Thinking Pinoy: #DengGate: Botched Tarlac Dengvaxia case hints DoH-led coverup
"After providing free housing to the poor for six decades, a German priest has been chosen to receive the prestigious Saint Teresa Award for the year 2016.Father Leo Schmitt, 88 years old, was born in Germany. However, when he got assigned in the Philippines to be a parish priest, he became very close to the natives. He has been staying in the Philippines for almost 60 years. He is also acknowledged as a Filipino citizen.Father Leo also established a foundation known as the “Samahang Bagong Buhay” foundation. Because of this, he was able to gather enough funds to buy land and turn it into a relocation sight for unfortunate people.There were more than a thousand families who were able to transfer to the five relocation site.“Noong wala na po akong matirahan, doon ko po nakita, na sabi ko, talagang mabait ang Diyos. Talagang si Father Leo talaga yung binigay Niyang instrumento sa amin,” Nila Galletes said, one of the beneficiary of Father Leo, during an interview.Father Leo’s deep commitment to the poor was the reason was awarded the Saint Teresa Award 2016. The award was given by JCI Manila and it was their 29th year of giving the award. The late Cardinal Sin also received an award.“What they saw was his contribution and the number of families he helped,” Gio Valencia from JCI Manila said.Father Leo met Mother Teresa twice, once in Manila and the other in India.Father Leo said in an interview, “The result was a turn around. From makasarili, makatao at maka-Diyos.”","MUST READ! Priest Gave Free Housing For The Poor for Six Decades, Receives Something Nobody Expected!"
"Charlie Sheen. NBC via APNEW YORK (AP) — Charlie Sheen is suing the National Enquirer, saying that the magazine defamed him by alleging he sexually assaulted teen actor Corey Haim.In papers filed Friday in Los Angeles, Sheen called the tabloid’s allegations “ridiculous” and “disgusting.”The Enquirer’s Nov. 8 edition includes a quote from actor Dominick Brascia, saying that Sheen had assaulted Haim when he was in his mid-teens and Sheen around 20.Sheen and Haim, who died in 2010, both appeared in the 1986 release “Lucas.” Brascia told the Enquirer that the assault came during the film’s production.Sheen is seeking unspecified damages.The Enquirer’s parent company, American Media Inc., said in a statement Saturday that it looked “forward to litigating” the case and welcomed the chance to expose Sheen’s “depravities.”Haim is also reported to have been abused by studio executives. NVGRELATED STORIES:38 women accuse US director James Toback of sexual harassmentHow some young Hollywood stars have fared after arrests",Charlie Sheen sues tabloid over assault allegation  MaharlikaNews @ykhy CW051017
"MANILA, Philippines — “Star Wars: The Last Jedi,” the latest film in the blockbuster franchise, is set for a global release in December, and fans can’t wait any longer.Luckily for Filipinos, they can already feel the force ahead of the Philippine opening on December 15.Grab has just launched a campaign that will take its users to an intergalactic journey with the “The Last Jedi.” All they have to do is open the ride-hailing app, go to Settings and activate the movie’s theme that will re-skin the app to the Star War’s Galaxy with spaceships as car icons. They then have to choose their side between The Resistance with Rey (Daisy Ridley) or The First Order led by Kylo Ren (Adam Driver).In collaboration with The Walt Disney Company Southeast Asia, Grab’s Stars Wars campaign aims to give its users a priceless, immersive and rewarding experience.By joining, users also get to redeem exclusive Star Was merchandise through GrabRewards. The more rides they book, the more points they earn for items such as Stormtrooper notebooks, “Feel the Force” tumblers, BB-8 tote bags and passport covers, and tickets to private screenings.They can also “fight” for their chosen side to win exciting prizes. In the first challenge, the side with the most number of members wins BB-8 or BB-9 action figures. There is also an in-app quiz that rewards a Star Wars Lego set to winners.Lifestyle Feature ( Article MRec ), pagematch: 1, sectionmatch:The Top Rider challenge is ongoing until December 10. Just use “THELASTJEDI” promo code to be one of the top five riders from each side who will advance in an on-site, final battle with more exciting challenges.Thrilled enough? Grab has the coolest prize in store for the grand winner: an all-inclusive trip for two to the world’s largest privately owned Star Wars memorabilia museum, the Rancho Obi-Wan in San Francisco, California.So ride your way to the final battle. Activities, date and venue will be announced soon. Regularly visit www.grab.com/ph/masteryourforce for updates and more.",Want to 'book' an intergalactic journey with 'The Last Jedi'?  MaharlikaNews @ykhy CW051017
"Ever wonder what top politcians, personalities and media folks wish for this Christmas? Well, wonder no more.We talked to a random group of famous and infamous Filipinos and here are their responses:President Duterte: Puksain ang illegal drugs. My gahd, I hate drugs.VP Leni Robredo: i-dismiss na yang electoral protest ni BBM. May anxiety attack na ako.PNoy: Sana tuluyang magka-amnesia si former Health Secretary Garin para hindi na ako masangkot sa Dengue vaccine mess.Kris Aquino: Please, Mr. President, huwag mo namang ikulong ang kapatid ko.CJ Sereno: Please God, don’t let history repeat itself (referring to Corona impeachment).Maria Ressa: Please God, help me take back the Internet.Jover Laurio: Bagong anyo, para mawala na ang pagkutya sa akin.Raissa Robles: Sana i-declare ni DU30 ang Martial Law nationwide, so I could write another book, “Never Again 2.0”Sass Rogando Sasot: I’m still waiting for that BBC interview!Thinking Pinoy: Karambola kayong lahat, hindi pa ako tapos!Adobo Chronicles: Let life continue to imitate satire…Advertisements","From DU30 To Thinking Pinoy: Heres Their Christmas Wish, Whats Yours?"
"BINONDO, Philippines (The Adobo Chronicles) – Apparently not content with its claim over the disputed territory in the South China Sea, the Chinese government today announced it was laying claim over the oldest Chinatown in the world — in Manila!Manila’s Chinatown, located in and around the Binondo district, was established in the late 1500s. It was built by the Spaniards as a settlement for Catholic Chinese, and was positioned across the Pasig River so that the colonial rulers could keep a close eye on their migrant subjects. To this day, it continues to be a center of commerce and trade in Manila where all types of businesses are run by Filipinos of Chinese ancestry.Almost a quarter of the Philippines’ 100 Million population are of Chinese descent, and China is demanding loyalty from them.The administration of Philippine President NoyNoy Aquino immediately protested the Chinese announcement, saying “China cannot just kidnap 25 percent of our population. What are they planning to do? Build a wall around Binondo and make our Chinatown their overseas seat of government?”Aquino called U.S. President Barack Obama at 3 a.m. Monday morning (U.S. East Coast time) to report the latest move by the Chinese government.The U.S. and the Philippines have a mutual defense agreement which provides for the use of Philippine bases by American military forces. In exchange, the Americans are training the Filipinos on military combat and providing military equipment to help the Philippines defend itself against foreign aggressors.Unfortunately, Obama was out of the country attending a summit meeting of the G7 nations.Advertisements",CHINA LAYS CLAIM OVER MANILAS CHINATOWN
"Fliptop Battle League is the first and largest professional rap battle conference in the Philippines. The league promotes Pinoy hip hop and founded by Alaric Riam Yuson, known as Anygma.In general, the contest consists of three rounds with a time limit for each contender set by the referee. Overtime is applied if the battle is a draw. Filipino language is the primary medium although other languages or dialects can be used.Profanities and insults are allowed in the battle provided that contenders must not take it seriously or personally especially off-stage. The winner is determined by the decision of the judges. The criteria for judging are the usage of words, audience impact, delivery, and rapping style.In this video, a guy named Shernan and Lil Sisa fight in a fliptop battle. In the first round, Shernan complemented Lil Sisa by using different ""hugot"" lines. Here, the guy admitted that he had a crush on Lil Sisa although they are both married.Shernan was so gentleman here that he gave this battle to Lil Sisa. He was really so good with his ""hugot"" lines.In the end, the one who had won the battle was Lil Sisa with a score of 4-1.",This Guy Didn't Expect What His Girl Crush Had Said To Him In A FlipTop Battle. But What The Guy Did Was Truly A Gentleman!
"Kim is probably one of the prettiest faces on that ever graced our newsfeed. She's utterly cute and that is why it's not surprising that she have already amassed over a million followers on her social accounts. We even featured her on our YouTube channel as Babe of The Month for July 2015.Although she sometimes posts content that falls under the category of naughty, she can be considered wholesome overall. But these past few days, her image has been painted in a bad light because of her being linked to a scandalous set of pictures going around social media.The said photos shows a couple in which the woman is of the same figure as Kim but the faces are blurry to the point that you can't recognize the facial features.After the said photos of questionable authenticity went viral, Ilagan issued a statement of her timeline:She vehemently denied being the girl shown in the said photographs and pointed out that it was all just edited images made to look like her and that the motive of the individuals behind this so called Kim Ilagan scandal was just to gain followers for themselves.",Pinoy News Blogger
"High blood pressure , also known as hypertension or “the silent killer”, affects 1 in 3 adult or roughly 67 million people, and that number only continues to grow.If you have hypertension, your heart has to work extra hard to pump blood through the body. And while healthy arteries are made of semi-flexible muscle, the force of high blood pressure will lead to overstretching their walls.This overstretching can lead to tiny tears in blood vessels that leaves tissue that catch things such as cholesterol/plaque, and other blood cells.Hence, heart attacks and strokes are the result if the pressure becomes too high.If you've been diagnosed with high blood pressure, you might be worried about taking medication to bring your numbers down.So instead of over-the-counter-pills, we bring you a very effective natural way to beat hypertension and reduce clogged arteries.Ingredients:4 cm / 1.5 inches of ginger root4 unpeeled lemons4 garlic cloves2 liters / 67.6 oz of filtered waterMethod of preparation:1. Wash the lemons and cut them in slices.2. Peel the ginger, and the garlic cloves.3. Place all the ingredients in a blender and blend until you get a homogenous mixture.4. Transfer the mixture in a pan and heat it by slowly adding the water. Stir and heat until it boils.5. Remove from the heat and leave it to cool.6. Strain and pour the remedy into glass bottles and keep in the fridge.Consumption:",MUST READ: 4 TBSP of This and Goodbye To High Blood Pressure and Clogged Arteries VERY EFFECTIVE!
"It may be chilly out, but if you bundle up and step outside over the next week, you’ll be able to enjoy one of the most active meteor showers of the year: the Geminids.Though you can spot a meteor on any given night, Earth has a major meteor shower almost every month, when it passes through a trail of debris left over from a passing comet or asteroid.Each December, we pass through debris from asteroid 3200 Phaethon, which orbits the sun once every 524 days.The shower runs from Dec. 4-23, but peaks on the night of Dec. 13-14. Though you can head out any time to catch a few, your best bet is likely from Dec. 12 to the night of Dec. 15.During the peak, you can see upwards of 120 meteors an hour as they travel through the atmosphere at 35 km/s. But to do so, you should get to a dark site.You can use this animation to see how Earth passes through the remains shed by the asteroid.3200 Phaethon may be something astronomers refer to as a “dead comet,” in part because of its highly elliptical orbit around the sun. But astronomers still aren’t sure how to classify this intriguing rock as, when it nears the sun, it doesn’t produce a tail like comets do.Interestingly, on Dec. 16 the asteroid — discovered in 1983 — zips past Earth roughly 10 million kilometres away.Observing tipsThe best thing about this year’s Geminids is the moon, or lack thereof, which will be only roughly 14 per cent illuminated on the night of Dec. 13, meaning there won’t be any significant bright light to drown out the fainter meteors.So where to look? You just need to look up. But, there is a direction from which the meteors seem to be coming, called the radiant. This shower’s radiant lies in the constellation Gemini, hence the name.Gemini rises in the east around 10 p.m., but the later it is, the better your chance at seeing some meteors, as the constellation gets higher in the sky where it’s darker. And try to stay away from anything bright — including your phone.So, if you have clear skies and plan to brave the elements, head to a dark location and look up. If you’re in a light-polluted city like Toronto or Vancouver, you’ll likely still manage to catch some of the brightest meteors, as this shower tends to produce bright ones with great colour. Just try to stay away from streetlights and you’re sure to catch a few.","How to watch the Geminids, one of the most active meteor showers of the year  MaharlikaNews @ykhy CW051017"
